feature,offset,auc,p,q
macd_hist,-2,0.5129269820380301,0.0002221820495436022,0.000652513598133316
macd_hist,-1,0.5054545714533287,0.11923321425122538,0.19228940333001088
macd_hist,0,0.5140501680837328,5.990652254277165e-05,0.00019663435046392107
dist_from_high_96,-8,0.5018649217361689,0.5942545128977386,0.6739715817010937
dist_from_high_96,-7,0.4996471910284038,0.9197307678786981,0.9399446309089993
dist_from_high_96,-6,0.4993141824833851,0.8446956287579084,0.8926896985736986
dist_from_high_96,-5,0.49816038732539486,0.5992691394936559,0.6769072466345344
dist_from_high_96,-4,0.4979088899919562,0.5503154008530486,0.6344545323884321
dist_from_high_96,-3,0.49700065128551235,0.39160527607236606,0.48131221156030896
dist_from_high_96,-2,0.4958272693113342,0.23331395934375065,0.31909115027895313
dist_from_high_96,-1,0.4959595041947049,0.24846109957602458,0.33327234029668684
dist_from_high_96,0,0.47615377254041963,9.675215702144561e-12,8.997950602994441e-11
pullback_depth_32,-8,0.478351589733754,6.270335803471845e-10,4.603746550443802e-09
pullback_depth_32,-7,0.4742794092250336,2.0327198668816243e-13,2.268515371439893e-12
pullback_depth_32,-6,0.4740613004520096,1.2732701118215113e-13,1.5445320052095722e-12
pullback_depth_32,-5,0.473688585505173,5.674384883429941e-14,7.196151738531607e-13
pullback_depth_32,-4,0.47417048803088213,1.6100163387023742e-13,1.87164399374151e-12
pullback_depth_32,-3,0.4729628530024775,1.1391141928412437e-14,1.513394570489081e-13
pullback_depth_32,-2,0.47246198438724174,3.669179697727886e-15,5.387900714032001e-14
pullback_depth_32,-1,0.47674976563170673,3.115339885407806e-11,2.7161869625899305e-10
pullback_depth_32,0,0.4544194104795548,9.506276057107049e-39,2.9469455777031854e-37
bars_since_high_32,-8,0.49794552794335517,0.5572473743804425,0.6398025409553229
bars_since_high_32,-7,0.49472460996753326,0.13177707360196536,0.20771640415225046
bars_since_high_32,-6,0.49517030930181266,0.16765079235647673,0.24748450300241803
bars_since_high_32,-5,0.4917906034146701,0.019007499744993446,0.03928216613965312
bars_since_high_32,-4,0.4920414021164819,0.02298601910060717,0.046137405245103597
bars_since_high_32,-3,0.4924543210516909,0.03110575335630901,0.05944181634527543
bars_since_high_32,-2,0.49339894137706625,0.059302550146879414,0.10516506403965273
bars_since_high_32,-1,0.4914300944167974,0.01434709075210474,0.030324532726039563
bars_since_high_32,0,0.49033724355947084,0.005768258900989215,0.01308409945834139
higher_low_freq_16,-8,0.5062588698572922,0.07323191938082706,0.12458357016616309
higher_low_freq_16,-7,0.5079808334685362,0.022360014978348164,0.04520611723883433
higher_low_freq_16,-6,0.511100640851273,0.0014860660487097674,0.0037352470954056314
higher_low_freq_16,-5,0.5128314127497557,0.00023975914522467783,0.00069680001580922
higher_low_freq_16,-4,0.514464491821386,3.461702297627101e-05,0.00012225505582759002
higher_low_freq_16,-3,0.514204628499868,4.773918681212061e-05,0.00016047268819977892
higher_low_freq_16,-2,0.5143769869535821,3.850911682610997e-05,0.00013102492188395954
higher_low_freq_16,-1,0.513314114429628,0.00013755766383282835,0.0004264287578817679
higher_low_freq_16,0,0.5131454903881356,0.00016688031416926518,0.0004978878725798669
lower_high_freq_16,-8,0.48986379749212355,0.0037274609600413777,0.008739173175223061
lower_high_freq_16,-7,0.48823680757312665,0.0007620495938077378,0.0020443445833880657
lower_high_freq_16,-6,0.48545958350698604,3.1661305357390754e-05,0.00011325005377835922
lower_high_freq_16,-5,0.4837198274068262,3.1754739018490845e-06,1.265653169451278e-05
lower_high_freq_16,-4,0.4825483855175976,5.899792194115346e-07,2.654906487351906e-06
lower_high_freq_16,-3,0.4826672911126618,7.007715518451054e-07,3.103416872456895e-06
lower_high_freq_16,-2,0.4830339294721823,1.1952714648178805e-06,5.052738464911949e-06
lower_high_freq_16,-1,0.48245987039830446,5.140775171539881e-07,2.3512725784584046e-06
lower_high_freq_16,0,0.48096557274021823,5.0592363585017957e-08,2.5664126254945473e-07
body_atr,-8,0.5076343172077091,0.029212603177219208,0.05659941865586222
body_atr,-7,0.5036688463973427,0.2946663933906163,0.37885679150222096
body_atr,-6,0.4996783128056262,0.9267906164979274,0.9437028540252618
body_atr,-5,0.5063663058309705,0.06899984547546895,0.11810402998561863
body_atr,-4,0.5028250552019508,0.41970922432182267,0.49837004648534095
body_atr,-3,0.5028142138464164,0.42149563702912474,0.49837004648534095
body_atr,-2,0.5109823911657578,0.0017073092418425082,0.00425302927208982
body_atr,-1,0.5220544735644829,2.986736800481588e-10,2.4508810803951855e-09
body_atr,0,0.49012592257070703,0.004797042037617544,0.01115312273746079
body_frac,-8,0.5051325625868389,0.14264172261307353,0.22109467005026395
body_frac,-7,0.5067533452392226,0.053734373483089175,0.09672187226956051
body_frac,-6,0.4957786842565021,0.2279167101852736,0.3140044841694203
body_frac,-5,0.5046008260137849,0.18879806911532926,0.27225333922844025
body_frac,-4,0.4991919671838149,0.8174706309386381,0.8726820645088239
body_frac,-3,0.49843981484553,0.6558585401610431,0.731938130819724
body_frac,-2,0.5039539961628537,0.258734340687669,0.3389055448444115
body_frac,-1,0.5075504361773371,0.031033219602510778,0.05944181634527543
body_frac,0,0.40859327707288023,2.9044109283791876e-150,2.7011021633926445e-148
upper_wick_frac,-8,0.5042480120160618,0.22498907490553155,0.31229826815245426
upper_wick_frac,-7,0.49929342206658656,0.8400569044558872,0.8911630279208842
upper_wick_frac,-6,0.5060564903481276,0.08364317743622343,0.14143300911943235
upper_wick_frac,-5,0.4971115452344377,0.4093517684853031,0.49384901390522534
upper_wick_frac,-4,0.4987494971360124,0.7209547153549707,0.7857279905626439
upper_wick_frac,-3,0.5031688246844749,0.3654031106355856,0.4560605413403759
upper_wick_frac,-2,0.501179895834527,0.7361052153936283,0.7991181132094253
upper_wick_frac,-1,0.48590779590467165,5.693023694444391e-05,0.0001890897155654744
upper_wick_frac,0,0.4678974821919301,4.751635120813824e-20,9.469329990764692e-19
lower_wick_frac,-8,0.4907675830502116,0.008362447559713363,0.018516848167936733
lower_wick_frac,-7,0.4957836953049341,0.2284692124960298,0.3140044841694203
lower_wick_frac,-6,0.4986348687748655,0.6965922617569025,0.7621538863928462
lower_wick_frac,-5,0.4958738715591387,0.23857572318565912,0.32469574033560433
lower_wick_frac,-4,0.5064185147232343,0.06675299119714881,0.11640052840002824
lower_wick_frac,-3,0.4973993965431104,0.4575935426608111,0.5341782359931644
lower_wick_frac,-2,0.49292358035540346,0.04325366101426033,0.07991901604621611
lower_wick_frac,-1,0.5052370607893955,0.13468694180393803,0.21111043125448714
lower_wick_frac,0,0.6214666630076463,9.443584554473595e-264,1.3173800453490665e-261
consec_up_closes,-8,0.49959319786112166,0.902607063439457,0.9326939655541054
consec_up_closes,-7,0.5073335990143967,0.02730180808795078,0.05364228490519907
consec_up_closes,-6,0.5019988278067048,0.5455153978000447,0.6315302738017113
consec_up_closes,-5,0.5026054737737708,0.42856041463776795,0.5023880490921734
consec_up_closes,-4,0.4998420589910473,0.961570368780568,0.9755568468719217
consec_up_closes,-3,0.505991123055869,0.0652997770690972,0.11458262768728378
consec_up_closes,-2,0.49462410753579256,0.09469283784980932,0.159152420241547
consec_up_closes,-1,0.4955083314083268,0.14351111200038047,0.22121326103926053
consec_up_closes,0,0.529019589630819,7.059246879115485e-22,1.6412748993943502e-20
consec_down_closes,-8,0.4945641961041888,0.11108835755748815,0.1812494254885333
consec_down_closes,-7,0.48787801499756034,0.0003749137580970598,0.0010460093850907968
consec_down_closes,-6,0.4950525320722178,0.1474494406785672,0.2235782279854361
consec_down_closes,-5,0.49315788833514373,0.04544599080453368,0.083417312068848
consec_down_closes,-4,0.49636798254687514,0.2895161324001353,0.3749839793012526
consec_down_closes,-3,0.4919313726613683,0.018921587097257032,0.03928216613965312
consec_down_closes,-2,0.49705652171115894,0.39350640013826177,0.4815275685902414
consec_down_closes,-1,0.5042399928307327,0.2222589583013974,0.31050998496839993
consec_down_closes,0,0.46492141449683744,8.458315791550673e-24,2.3598701058426374e-22
clv,-8,0.496836148668006,0.36615613354926235,0.4560605413403759
clv,-7,0.511545000722757,0.0009750712020673749,0.002566460994120732
clv,-6,0.5001448856445575,0.9669903425180721,0.9775011071106599
clv,-5,0.5078935547764389,0.024155166385002858,0.048137795867255695
clv,-4,0.5067039610302273,0.05550958993325854,0.0992767666114047
clv,-3,0.5054410009109352,0.1201548370653983,0.19266206632900074
clv,-2,0.4962978881823495,0.2903101775235504,0.3749839793012526
clv,-1,0.5009239302743521,0.7918542971352298,0.849720572695112
clv,0,0.6249023071731474,9.278631614891891e-279,2.5887382205548374e-276
avg_spread_8,-8,0.5004575157584153,0.8960280725329097,0.9293376663073672
avg_spread_8,-7,0.5014373265106677,0.6814055295412074,0.7544132648491938
avg_spread_8,-6,0.5043392688875311,0.2151848551963884,0.30475418578574803
avg_spread_8,-5,0.5063798612949836,0.06841059270516832,0.11810402998561863
avg_spread_8,-4,0.5081676872719771,0.01965060213663479,0.040312632324419895
avg_spread_8,-3,0.5114647259383729,0.0010577671908878628,0.0027325652431269792
avg_spread_8,-2,0.5124910434420203,0.00035993256965692486,0.0010143554235786064
avg_spread_8,-1,0.5213046332445317,1.1628278679917496e-09,7.912901833407272e-09
avg_spread_8,0,0.5582656942317555,3.426871375699647e-62,1.195121392275252e-60
